date,tweets,periode,person
2014-09-17,"Cc @jokowi_do2 ""@donxnay : Dr puncak mega Gn puntang Kab . Bandung ! Saya menyuarakan #BaliTolakReklamasi @gendovara",periode_3,gendovara
2014-09-15,"Cc @jokowi_do2 ""@syamsulalamagus : ""@ulinyusron : 8 dusta revitalisasi Teluk Benoa #BaliTolakReklamasi  @gendovara",periode_3,gendovara
2014-09-15,"Cc @jokowi_do2 ""@leakBALI_: siang ini saya disambut dengan baliho #balitolakreklamasi didepan seminyak square",periode_3,gendovara
2014-09-14,"Cc @jokowi_do2 ""@dodysubur : Baliho #BaliTolakReklamasi sudah trpasang Megah di depan LP Kerobokan , Ayo bergerak .",periode_3,gendovara
2014-09-14,"Cc @jokowi_do2 ""@dodysubur : Persiapan Masang Baliho #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad @ForBALI13",periode_3,gendovara
2014-09-12,"Cc @jokowi_do2 ""@OSD_GIANYAR : Sudah berdiri gagah di Br .Suwat Gianyar Bali   @PemkabGianyar #BaliTolakReklamasi """,periode_3,gendovara
2014-09-09,"Cc @jokowi_do2 ""@esa_bhaskara : Forum Pemuda Belayu Bersatu , Tabanan juga ikut mendukung #BaliTolakReklamasi @JRX_SID",periode_3,gendovara
2014-09-09,"Cc @jokowi_do2 ""@Hendra_mk2 : Hari ini pemuda renon akan mendirikan baliho #BaliTolakReklamasi @ForBALI13 @JRX_SID",periode_3,gendovara
2014-09-09,"Cc @jokowi_do2 ""@AnakKampungBali :  br . Meranggi desa Pandak Bandung Tabnan #BaliTolakReklamasi @ForBALI13 @JRX_SID",periode_3,gendovara
2014-09-07,"Cc @jokowi_do2  lihat pak ""@kobinrockabye : #BaliTolakReklamasi #batalkanperpresnolimasatuthbjad @ForBALI13 @gendovara",periode_3,gendovara
